min(X),min(Y),min(Z),max(X),max(Y),max(Z),mean(X),mean(Y),mean(Z),variance(X),variance(Y),variance(Z),std(X),std(Y),std(Z),skewness(X),skewness(Y),skewness(Z),kurtosis(X),kurtosis(Y),kurtosis(Z),median(X),median(Y),median(Z),percentile25(X),percentile75(X),percentile25(Y),percentile75(Y),percentile25(Z),percentile75(Z),corr_axis(XY),corr_axis(XZ),corr_axis(YZ),zerocross(X),zerocross(Y),zerocross(Z),energy(X),energy(Y),energy(Z),dominantFr(X),dominantFrMag(X),dominantFr(Y),dominantFrMag(Y),dominantFr(Z),dominantFrMag(Z),IdentityTag,activity
-22.021999999999998,-5.728600000000000,-16.143000000000001,9.830700000000000,12.662000000000001,2.190100000000000,-7.999040299999995,1.067802900000000,-4.446311189999999,98.658867319212973,17.258288582285431,21.198069648311687,9.932717015963606,4.154309639673652,4.604136145718509,-0.110459167539969,0.657979859026070,-0.868596255310485,1.694168090409590,2.861269514523144,2.771956627946380,-6.647000000000000,0.642555000000000,-2.890450000000000,-17.686999999999998,-0.471900000000000,-2.396350000000000,3.738550000000000,-6.497000000000000,-0.898555000000000,0.083629417798165,0.688607660658329,-0.130744285775734,11.000000000000000,24.000000000000000,22.000000000000000,16166.000000000000000,1823.000000000000000,4076.000000000000000,2.832031250000000,8254.405097693395900,1.464843750000000,578.937983357171790,2.832031250000000,1075.061353224332200,105.000000000000000,5.000000000000000
-22.000000000000000,-4.913200000000000,-16.934999999999999,11.579000000000001,12.454000000000001,2.190900000000000,-7.104010740000001,0.790896530000000,-4.183255965000000,104.237685347061150,15.281424852455167,19.842675266809430,10.209685859372028,3.909146307373922,4.454511787705744,-0.122299645086430,0.884755622027803,-0.971275779581265,1.761884067313497,3.134350258114156,3.424211910108692,-4.126600000000000,-0.003488500000000,-3.449250000000000,-17.834499999999998,0.228690000000000,-2.388900000000000,3.089150000000000,-6.597100000000000,-0.782615000000000,0.120328601609280,0.680146397686216,-0.128662450440455,11.000000000000000,15.000000000000000,19.000000000000000,15366.000000000000000,1575.000000000000000,3714.000000000000000,2.832031250000000,9177.151323783515200,1.367187500000000,755.848332967685680,2.832031250000000,1102.521313281257300,105.000000000000000,5.000000000000000
-22.058000000000000,-8.433500000000000,-16.271000000000001,10.690000000000000,13.673999999999999,2.880300000000000,-7.289346599999998,0.358515680000000,-3.938778886000000,103.448281122465080,22.854373827943412,20.022987334714173,10.170952812911143,4.780624836560950,4.474705279089806,-0.168627336436435,0.736967185995553,-1.041162715208399,1.611968115007395,2.923416978788698,3.563872888906328,-4.347150000000000,-0.621435000000000,-2.798700000000000,-18.170999999999999,0.814530000000000,-3.478950000000000,3.305500000000000,-6.617850000000000,-0.346760000000000,0.064192058178425,0.675893937630031,-0.192833202421644,11.000000000000000,22.000000000000000,19.000000000000000,15555.000000000000000,2275.000000000000000,3534.000000000000000,2.832031250000000,9163.962296498366400,1.464843750000000,732.461337015892350,2.832031250000000,1047.559732729494500,105.000000000000000,5.000000000000000
-22.055000000000000,-7.294000000000000,-16.696999999999999,9.702400000000001,14.061999999999999,1.714700000000000,-7.914838060000002,0.367676240000000,-4.632365719999999,98.489462340228513,18.394784289555982,25.262750755618509,9.924185726810462,4.288914115432482,5.026206398032070,-0.206034502781867,0.923274053184578,-0.969784449169052,1.634431722578567,3.624525450523904,2.923441381432339,-4.495100000000000,-0.989845000000000,-3.419850000000000,-18.905500000000000,-0.391380000000000,-3.022000000000000,3.172450000000000,-6.696350000000001,-0.661545000000000,-0.083330118331526,0.693072387438596,-0.351770725099574,12.000000000000000,15.000000000000000,17.000000000000000,16015.000000000000000,1835.000000000000000,4647.000000000000000,2.832031250000000,8135.223157388421000,1.367187500000000,615.168596722801680,2.832031250000000,1251.345444968934100,105.000000000000000,5.000000000000000
-22.091999999999999,-8.832599999999999,-16.681999999999999,9.855900000000000,12.789000000000000,1.986600000000000,-7.002362000000001,0.886269780000000,-4.265939980000001,102.675920857313090,22.011022671606042,26.835151979312641,10.132912752871855,4.691590633421254,5.180265628258134,-0.272736277876447,0.533199058374124,-1.180525218000272,1.687878307471027,2.644507121861516,3.294618536309995,-3.298400000000000,-0.034306000000000,-2.432300000000000,-17.474000000000000,0.494295000000000,-2.558150000000000,3.882450000000000,-6.425050000000001,-0.512030000000000,-0.046344210278312,0.687941107779287,-0.232838466413340,11.000000000000000,24.000000000000000,20.000000000000000,15068.000000000000000,2258.000000000000000,4477.000000000000000,2.832031250000000,9060.399257289860500,1.367187500000000,943.672941774136800,2.832031250000000,1314.139361929280800,105.000000000000000,5.000000000000000
-22.004000000000001,-5.707800000000000,-17.047999999999998,10.771000000000001,16.837000000000000,1.838000000000000,-6.949011300000000,0.651784842000000,-4.067124630000000,101.303181780562910,21.490683673137486,21.147666826383084,10.064948175751473,4.635804533534334,4.598659242255626,-0.250690137349322,1.128035929280048,-1.080612124388882,1.739087556643315,3.849235693322677,3.433771206219987,-3.692300000000000,-0.564495000000000,-2.965700000000000,-18.198499999999999,0.904230000000000,-2.890950000000000,2.649350000000000,-6.605950000000000,-0.389385000000000,-0.007946518381346,0.706522108988106,-0.177906507594419,11.000000000000000,18.000000000000000,15.000000000000000,14858.000000000000000,2170.000000000000000,3748.000000000000000,2.832031250000000,8643.664811241820600,1.464843750000000,1000.010450760846000,2.832031250000000,1076.212632292267000,105.000000000000000,5.000000000000000
-22.018000000000001,-16.265000000000001,-16.960999999999999,10.542999999999999,17.869000000000000,2.193000000000000,-7.632007149999998,0.681012100000000,-4.541356077000001,104.053622063916360,25.387529886841001,23.134713063264893,10.200667726375386,5.038603962095156,4.809855825621480,-0.098409192620425,0.431972507916093,-0.865813662868648,1.677763889490613,4.123240632925042,2.810468651166656,-5.205750000000000,-0.246085000000000,-3.059500000000000,-18.300000000000001,0.134149500000000,-3.089600000000000,4.182700000000001,-6.555800000000000,-0.762640000000000,0.060484113346338,0.708342392862509,-0.168421936834314,12.000000000000000,18.000000000000000,17.000000000000000,16126.000000000000000,2560.000000000000000,4353.000000000000000,2.929687500000000,9091.548708510430500,1.464843750000000,974.702837376866110,2.929687500000000,1270.683754064157300,105.000000000000000,5.000000000000000
-22.068000000000001,-8.399100000000001,-16.216000000000001,10.115000000000000,15.068000000000000,1.493000000000000,-7.802039680000002,0.767815909000000,-4.613844420000000,104.800286839532290,22.214405424854913,21.406084168307736,10.237201123331136,4.713216038423755,4.626670959589382,-0.118179097596001,0.824553366688359,-1.048678338176130,1.637068801012639,3.246096044967014,3.030137877411526,-5.335850000000000,-0.259195000000000,-3.006750000000000,-19.119500000000002,0.381970000000000,-2.770100000000000,3.751350000000000,-6.105400000000000,-1.247800000000000,0.150476987427755,0.674214150287083,-0.015992985535681,11.000000000000000,22.000000000000000,21.000000000000000,16462.000000000000000,2258.000000000000000,4248.000000000000000,2.832031250000000,9133.621514175301900,1.464843750000000,746.658911485510320,2.832031250000000,1016.150599482190600,105.000000000000000,5.000000000000000
-22.106000000000002,-7.327100000000000,-16.867000000000001,10.080000000000000,15.747000000000000,2.660000000000000,-7.205287070000005,0.546474910000000,-4.470188700000000,103.491505223265860,22.863794184074258,22.976554938474049,10.173077470621458,4.781609999160770,4.793386583457885,-0.226191363481887,0.943163074029007,-0.886000519640752,1.657327817454527,3.309086833195109,2.945314016402748,-3.473800000000000,-0.994590000000000,-3.218850000000000,-18.340000000000003,0.544785000000000,-2.980550000000000,3.805850000000000,-7.512050000000000,-0.895225000000000,0.138962431970551,0.723481228494377,-0.099532721999856,12.000000000000000,19.000000000000000,15.000000000000000,15437.000000000000000,2293.000000000000000,4273.000000000000000,2.929687500000000,9177.734757564956500,1.464843750000000,972.269404265861680,2.929687500000000,1209.048038539234100,105.000000000000000,5.000000000000000
-21.991000000000000,-6.490200000000000,-16.494000000000000,10.164999999999999,13.210000000000001,1.863700000000000,-6.980535450000000,0.466237600000000,-4.320991980000001,96.797507841617730,19.336224907325491,20.441439343523029,9.838572449375860,4.397297454951790,4.521221001402501,-0.301980371439691,0.838892909107335,-1.010330623863768,1.771238803076038,3.031533729802519,3.227568330045889,-3.391300000000000,-0.899210000000000,-2.543650000000000,-17.993499999999997,0.155517500000000,-2.947700000000000,3.470850000000000,-7.207050000000000,-0.925035000000000,0.088182154731285,0.686922943243729,-0.162261276558470,11.000000000000000,20.000000000000000,19.000000000000000,14456.000000000000000,1936.000000000000000,3891.000000000000000,2.832031250000000,8228.912465815106800,1.367187500000000,715.864667995362880,2.832031250000000,1071.060465425504200,105.000000000000000,5.000000000000000
